"Agilent Technologies, Inc. Comm","a",33.74,33.36,33.37
"Agilent Technologies, Inc. Comm","a",33.74,33.36,33.37
"Alcoa Inc. Common Stock","aa",9.45,9.62,9.59
N/A,"aaa",N/A,N/A,N/A
N/A,"aaab",N/A,N/A,N/A
N/A,"aab",N/A,N/A,N/A
N/A,"aabc",N/A,N/A,N/A
"AAC Holdings, Inc. Common Stock","aac",23.47,23.40,23.40
"AAC Holdings, Inc. Common Stock","aac",23.47,23.40,23.40
N/A,"aacb",N/A,N/A,N/A
N/A,"aacc",N/A,N/A,N/A
N/A,"aace",N/A,N/A,N/A
"WCM BNY Mellon Focused Growth A","aadr",35.188,35.188,36.430
N/A,"aadv",N/A,N/A,N/A
N/A,"aaf",N/A,N/A,N/A
N/A,"aafg",N/A,N/A,N/A
"AIA GROUP LTD","aagiy",20.42,20.71,20.73
N/A,"aah",N/A,N/A,N/A
N/A,"aai",N/A,N/A,N/A
N/A,"aai",N/A,N/A,N/A
N/A,"aaii",N/A,N/A,N/A
N/A,"aaiie",N/A,N/A,N/A
"iShares MSCI All Country Asia I","aait",30.53,N/A,30.53
N/A,"aala",N/A,N/A,N/A
N/A,"aam",N/A,N/A,N/A
"Atlantic American Corporation","aame",4.05,4.00,4.00
"Aaron's, Inc. Common Stock","aan",35.46,35.91,35.93
"Aaron's, Inc. Common Stock","aan",35.46,35.91,35.93
N/A,"aanb",N/A,N/A,N/A
"AAON, Inc.","aaon",19.12,19.79,19.75
"Advance Auto Parts Inc Advance ","aap",170.53,171.27,171.40
"Advance Auto Parts Inc Advance ","aap",170.53,171.27,171.40
"Apple Inc.","aapl",109.06,112.79,112.44
N/A,"aasi",N/A,N/A,N/A
"ALL-AMER SPORTPARK","aasp",0.38,N/A,0.38
"American Assets Trust, Inc. Com","aat",40.84,40.71,40.60
"American Assets Trust, Inc. Com","aat",40.84,40.71,40.60
N/A,"aati",N/A,N/A,N/A
N/A,"aati",N/A,N/A,N/A
N/A,"aatt",N/A,N/A,N/A
"Almaden Minerals, Ltd. Common S","aau",0.5634,0.5200,0.5400
N/A,"aauk",N/A,N/A,N/A
"Advantage Oil & Gas Ltd  Ordina","aav",5.07,5.31,5.23
"Advantage Oil & Gas Ltd  Ordina","aav",5.07,5.31,5.23
"Atlas Air Worldwide Holdings","aaww",34.30,34.19,34.22
"iShares MSCI All Country Asia e","aaxj",51.34,51.17,51.19
"Allianceberstein Holding L.P.  ","ab",25.97,25.70,25.66
"Allianceberstein Holding L.P.  ","ab",25.97,25.70,25.66
N/A,"abacf",N/A,N/A,N/A
N/A,"abage",N/A,N/A,N/A
N/A,"aban",N/A,N/A,N/A
"ADVANCED BATTERY TEC","abat",0.09,0.13,0.13
"ABAXIS, Inc.","abax",42.75,43.72,43.75
"ABB Ltd Common Stock","abb",17.37,17.43,17.14
N/A,"abbby",N/A,N/A,N/A
N/A,"abbc",N/A,N/A,N/A
N/A,"abbk",N/A,N/A,N/A
"AmerisourceBergen Corporation C","abc",95.05,96.19,96.19
"Ameris Bancorp","abcb",28.47,28.23,28.11
N/A,"abcc",N/A,N/A,N/A
"Cambium Learning Group, Inc.","abcd",4.59,4.72,4.69
N/A,"abcl",N/A,N/A,N/A
"The Advisory Board Company","abco",45.10,45.00,44.98
"The Advisory Board Company","abco",45.10,45.00,44.98
"ABC RECORDS","abcr",N/A,N/A,N/A
N/A,"abcs",N/A,N/A,N/A
"Anchor BanCorp Wisconsin Inc.","abcw",41.83,40.98,40.89
N/A,"abd",N/A,N/A,N/A
"AMBASSADOR FOOD NEW","abdr",0.02,N/A,0.02
N/A,"abf",N/A,N/A,N/A
N/A,"abfiq",N/A,N/A,N/A
N/A,"abfs",N/A,N/A,N/A
"Asbury Automotive Group Inc Com","abg",79.55,78.56,78.31
"Asbury Automotive Group Inc Com","abg",79.55,78.56,78.31
N/A,"abgx",N/A,N/A,N/A
N/A,"abh",N/A,N/A,N/A
N/A,"abh",N/A,N/A,N/A
N/A,"abi",N/A,N/A,N/A
N/A,"abi",N/A,N/A,N/A
N/A,"abii",N/A,N/A,N/A
"ARCA biopharma, Inc.","abio",4.91,5.27,5.33
N/A,"abix",N/A,N/A,N/A
N/A,"abizq",N/A,N/A,N/A
N/A,"abk",N/A,N/A,N/A
N/A,"abl",N/A,N/A,N/A
"ABLE ENERGY INC","able",0.0001,N/A,0.0001
"ABM Industries Incorporated Com","abm",27.72,27.85,27.78
"AMER BIO MEDICA","abmc",0.13,N/A,0.13
"ABIOMED, Inc.","abmd",89.03,92.98,93.16
N/A,"abn",N/A,N/A,N/A
N/A,"abn",N/A,N/A,N/A
N/A,"abnj",N/A,N/A,N/A
"ALTAPACIFIC BANCORP","abnk",9.80,9.80,9.80
N/A,"abov",N/A,N/A,N/A
N/A,"abp",N/A,N/A,N/A
"ALLEGIANCE BANK (PA)","abpa",0.0025,N/A,0.0025
"ACCENTIA BIOPHARMACE","abpi",0.0038,0.0035,0.0034
"Arbor Realty Trust Common Stock","abr",6.39,6.36,6.32
"Arbor Realty Trust Common Stock","abr",6.39,6.36,6.32
N/A,"abref",N/A,N/A,N/A
N/A,"abrx",N/A,N/A,N/A
N/A,"abrxq",N/A,N/A,N/A
N/A,"abs",N/A,N/A,N/A
N/A,"absc",N/A,N/A,N/A
"Abbott Laboratories Common Stoc","abt",39.50,39.26,39.06
N/A,"abtc",N/A,N/A,N/A
N/A,"abte",N/A,N/A,N/A
N/A,"abti",N/A,N/A,N/A
"Autobytel Inc.","abtl",15.60,15.68,15.66
N/A,"abtx",N/A,N/A,N/A
N/A,"abva",N/A,N/A,N/A
N/A,"abv",N/A,N/A,N/A
N/A,"abvt",N/A,N/A,N/A
N/A,"abwge",N/A,N/A,N/A
"Barrick Gold Corporation Common","abx",6.21,6.33,6.26
"Abengoa Yield plc","aby",16.40,16.45,16.52
N/A,"aca",N/A,N/A,N/A
"ACADIA Pharmaceuticals Inc.","acad",30.61,31.95,31.83
N/A,"acajc",N/A,N/A,N/A
N/A,"acam",N/A,N/A,N/A
N/A,"acam",N/A,N/A,N/A
N/A,"acap",N/A,N/A,N/A
N/A,"acare",N/A,N/A,N/A
"American Capital, Ltd.","acas",12.05,12.33,12.29
"Arctic Cat Inc.","acat",22.52,22.97,22.90
N/A,"acb",N/A,N/A,N/A
N/A,"acba",N/A,N/A,N/A
"American Campus Communities Inc","acc",36.77,36.25,36.22
N/A,"accc",N/A,N/A,N/A
N/A,"accd",N/A,N/A,N/A
N/A,"accl",N/A,N/A,N/A
N/A,"accl",N/A,N/A,N/A
"Acco Brands Corporation Common ","acco",6.85,7.00,7.01
"AFRICAN COPPER CORP","accs",0.0007,N/A,0.0007
N/A,"acct",N/A,N/A,N/A
"Accuvest Global Opportunities E","accu",23.91,N/A,23.91
N/A,"accuf",N/A,N/A,N/A
N/A,"acd",N/A,N/A,N/A
N/A,"acdo",N/A,N/A,N/A
"Ace Limited Common Stock","ace",101.59,100.83,100.90
N/A,"acec",N/A,N/A,N/A
N/A,"acee",N/A,N/A,N/A
N/A,"acei",N/A,N/A,N/A
N/A,"acel",N/A,N/A,N/A
N/A,"acep",N/A,N/A,N/A
"Aceto Corporation","acet",27.30,27.32,27.44
N/A,"acf",N/A,N/A,N/A
"Atlantic Coast Financial Corpor","acfc",5.66,5.84,5.81
"Acorn Energy, Inc.","acfn",0.1301,0.1225,0.1260
"Alliancebernstein Income Fund","acg",7.88,7.91,7.90
"Arch Capital Group Ltd.","acgl",73.25,72.51,72.54
